[2021-04-30T09:22:49.152+0300][0.002s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2021-04-30T09:22:49.167+0300][0.016s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2021-04-30T09:22:49.168+0300][0.017s][info][gc] Using Shenandoah
[2021-04-30T09:22:51.850+0300][2,699s][info][gc] GC(15) Concurrent evacuation 0,920ms
[2021-04-30T09:22:51.850+0300][2,699s][info][gc] GC(15) Pause Init Update Refs 0,004ms
[2021-04-30T09:22:51.853+0300][2,703s][info][gc] GC(15) Concurrent update references 3,127ms
[2021-04-30T09:22:51.853+0300][2,703s][info][gc] GC(15) Pause Final Update Refs 0,051ms
[2021-04-30T09:22:51.853+0300][2,703s][info][gc] GC(15) Concurrent cleanup 112M->23M(128M) 0,064ms
[2021-04-30T09:22:52.021+0300][2,871s][info][gc] Trigger: Free (12748K) is below minimum threshold (13107K)
[2021-04-30T09:22:52.022+0300][2,871s][info][gc] GC(16) Concurrent reset 0,603ms
[2021-04-30T09:22:52.023+0300][2,872s][info][gc] GC(16) Pause Init Mark 0,409ms
[2021-04-30T09:22:52.034+0300][2,883s][info][gc] GC(16) Concurrent marking 10,979ms
[2021-04-30T09:22:52.035+0300][2,884s][info][gc] GC(16) Pause Final Mark 1,095ms
[2021-04-30T09:22:52.035+0300][2,885s][info][gc] GC(16) Concurrent cleanup 109M->109M(128M) 0,045ms
[2021-04-30T09:22:52.037+0300][2,886s][info][gc] GC(16) Concurrent evacuation 1,377ms
[2021-04-30T09:22:52.037+0300][2,886s][info][gc] GC(16) Pause Init Update Refs 0,006ms
[2021-04-30T09:22:52.043+0300][2,893s][info][gc] GC(16) Concurrent update references 6,609ms
[2021-04-30T09:22:52.044+0300][2,893s][info][gc] GC(16) Pause Final Update Refs 0,053ms
[2021-04-30T09:22:52.044+0300][2,893s][info][gc] GC(16) Concurrent cleanup 115M->27M(128M) 0,068ms
[2021-04-30T09:22:52.207+0300][3,056s][info][gc] Trigger: Free (13056K) is below minimum threshold (13107K)
[2021-04-30T09:22:52.207+0300][3,057s][info][gc] GC(17) Concurrent reset 0,132ms
[2021-04-30T09:22:52.207+0300][3,057s][info][gc] GC(17) Pause Init Mark 0,127ms
[2021-04-30T09:22:52.213+0300][3,063s][info][gc] GC(17) Concurrent marking 5,967ms
[2021-04-30T09:22:52.214+0300][3,063s][info][gc] GC(17) Pause Final Mark 0,343ms
[2021-04-30T09:22:52.214+0300][3,063s][info][gc] GC(17) Concurrent cleanup 110M->110M(128M) 0,040ms
[2021-04-30T09:22:52.216+0300][3,065s][info][gc] GC(17) Concurrent evacuation 1,495ms
[2021-04-30T09:22:52.216+0300][3,065s][info][gc] GC(17) Pause Init Update Refs 0,006ms
[2021-04-30T09:22:52.221+0300][3,071s][info][gc] GC(17) Concurrent update references 5,298ms
